fund_name,scheme_name,category,rating,aum,expense_ratio,inception_date,Benchmark Index,nav,high_52_week,low_52_week,return_1_month,Return (%)3 mo,Return (%)6 mo,return_1_year,Return (%)2 yrs,return_3_year,return_5_year,Return (%)10 yrs,Turnover Ratio (%),number_of_stocks,average_market_cap,large_cap,mid_cap,small_cap,Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,standard_deviation,classification,category_average_return,category_average_return_3years,exit_load_remarks
DSP Mutual Fund,DSP India T.I.G.E.R Fund-Reg(G),EQ-INFRA,3.0,1661.7,2.23,11-Jun-04,S&P BSE 100 - TRI,156.64,163.16,129.24,-2.09,10.43,4.78,4.9,43.58,19.7,10.84,13.52,33,59.0,35761.0,35.37,26.49,34.06,Capital Goods,-,-,-,8.85,0.26,0.39,0.78,17.49,Equity : Sectoral - Infrastructure,5.4,20.87,1% before 12M Nil on or after 12M
DSP Mutual Fund,DSP Midcap Fund-Reg(G),EQ-MID,2.0,14145.4,1.76,14-Nov-06,Nifty Midcap 150 - TRI,87.64,96.36,75.19,-1.43,6.38,-0.02,-10.1,19.49,16.97,9.8,16.7,28,53.0,28390.0,11.96,68.07,16.1,Financials,-,-,-,-7.08,-0.66,-0.99,0.8,17.42,Equity : Mid Cap,0.53,23.53,1% before 12M Nil on or after 12M
DSP Mutual Fund,DSP Regular Savings Fund-Reg(G),HY-DT(CO),2.0,202.4,1.21,11-Jun-04,CRISIL Hybrid 85+15 - Conservative Index,44.26,44.71,42.43,-0.12,1.41,0.42,0.58,6.97,6.59,4.2,7.11,0,21.0,110329.0,17.0,3.01,3.69,Financials,2.18,1.87,7.29,-1.97,-0.52,-0.84,0.44,4.18,Hybrid : Debt Oriented (Conservative),0.59,9.76,Nil
DSP Mutual Fund,DSP Tax Saver Fund-Reg(G),EQ-ELSS,4.0,10002.3,1.74,18-Jan-07,NIFTY 500 - TRI,81.08,84.75,70.15,-1.18,6.16,0.35,-4.66,27.69,17.32,11.98,16.45,44,56.0,114926.0,66.59,19.3,11.34,Financials,-,-,-,-0.28,-0.3,-0.46,0.89,17.24,Equity : Tax Saving (ELSS),-1.86,16.69,Nil
DSP Mutual Fund,DSP Top 100 Equity Fund-Reg(G),EQ-LC,1.0,2654.8,2.08,10-Mar-03,S&P BSE 100 - TRI,289.35,305.33,247.19,-0.64,7.12,4.08,-5.7,18.18,10.3,7.73,10.61,49,33.0,168620.0,84.26,13.5,0.91,Financials,-,-,-,-1.97,-0.4,-0.63,0.88,17.04,Equity : Large Cap,-3.51,14.3,1% before 12M Nil on or after 12M
Edelweiss Mutual Fund,Edelweiss Arbitrage Fund-Reg(G),HY-ARB,4.0,5586.3,1.07,27-Jun-14,Nifty 50 Arbitrage,16.06,16.06,15.43,0.43,1.15,2.01,3.98,3.88,4.12,4.99,-,1496,156.0,83054.0,40.75,19.98,6.73,Financials,0.35,0.34,6.37,1.18,1.34,2.7,-0.02,0.9,Hybrid : Arbitrage,3.56,3.65,0.10% on or before 30D Nil after 30D
Edelweiss Mutual Fund,Edelweiss Balanced Advantage Fund-Reg(G),HY-DYN,5.0,8682.9,1.77,20-Aug-09,NIFTY 50 Hybrid Composite Debt 50:50 Index,36.18,36.87,32.99,-0.25,5.27,1.66,-1.95,15.72,14.41,10.43,11.18,347,84.0,188140.0,58.93,10.42,2.94,Financials,1.5,1.28,6.65,-3.63,-0.42,-0.67,0.56,9.47,Hybrid : Dynamic Asset Allocation,1.18,10.47,Nil for 10% of Units on or before 365D For remaining units 1% on or before 365D and Nil after 365D
Edelweiss Mutual Fund,Edelweiss Equity Savings Fund-Reg(G),HY-EQ,2.0,294.5,2.07,13-Oct-14,NIFTY 50 Equity Savings Index,18.65,18.8,17.58,0.24,3.73,1.9,0.31,10.09,9.25,7.93,-,538,72.0,186812.0,56.31,6.15,3.01,Financials,1.85,1.6,6.71,-2.02,-0.37,-0.61,0.29,5.81,Hybrid : Equity Oriented,1.35,8.53,Nil
Edelweiss Mutual Fund,Edelweiss Flexi Cap Fund-Reg(G),EQ-FLEX,3.0,1018.8,2.23,3-Feb-15,NIFTY 500 - TRI,23.1,24.13,19.68,-0.89,8.18,2.85,-3.56,25.36,16.29,11.59,-,38,54.0,176758.0,74.35,15.35,7.14,Financials,-,-,-,0.91,-0.24,-0.37,0.93,17.76,Equity : Flexi Cap,-2.7,16.46,1% on or before 12M Nil after 12M
Edelweiss Mutual Fund,Edelweiss Large & Mid Cap Fund-Reg(G),EQ-L&M,4.0,1542.9,2.21,14-Jun-07,NIFTY LargeMidcap 250 - TRI,53.7,55.61,45.05,-0.91,8.67,3.81,-2.56,27.48,18.92,13.08,14.6,23,67.0,100461.0,56.46,31.56,7.55,Financials,-,-,-,2.02,-0.17,-0.26,0.91,17.9,Equity : Large & Mid Cap,-1.58,18.24,1% on or before 12M Nil after 12M
Edelweiss Mutual Fund,Edelweiss Long Term Equity Fund (Tax Savings)-Reg(G),EQ-ELSS,3.0,200.3,2.42,30-Dec-08,NIFTY 500 - TRI,70.91,74.87,60.81,-0.95,7.7,1.79,-3.86,22.9,14.62,9.37,13.26,42,53.0,178902.0,73.89,15.37,6.95,Financials,-,-,-,0.71,-0.25,-0.39,0.95,18.06,Equity : Tax Saving (ELSS),-1.86,16.69,Nil
Edelweiss Mutual Fund,Edelweiss Mid Cap Fund-Reg(G),EQ-MID,4.0,2290.5,2.08,26-Dec-07,Nifty Midcap 150 - TRI,52.91,55.1,42.95,-1.86,9.72,4.92,-1.49,36.63,26.38,14.45,20.09,37,61.0,26051.0,12.36,62.53,20.41,Financials,-,-,-,3.65,-0.07,-0.1,0.9,19.83,Equity : Mid Cap,0.53,23.53,1% on or before 12M Nil after 12M
Franklin India Mutual Fund,Franklin Build India Fund(G),EQ-INFRA,2.0,1149.2,2.29,4-Sep-09,S&P BSE India Infrastructure Index - TRI,68.61,71.08,56.59,-1.47,11.16,6.64,1.47,40.84,19.33,11.9,18.42,39.82,36.0,63831.0,51.45,17.08,25.99,Energy,-,-,-,6.12,0.07,0.11,0.87,18.12,Equity : Sectoral - Infrastructure,5.4,20.87,1% on or before 1Y
Franklin India Mutual Fund,Franklin India Debt Hybrid Fund(G),HY-DT(CO),2.0,259.8,1.39,28-Sep-00,CRISIL Hybrid 85+15 - Conservative Index,69.39,70.03,65.82,0.08,3.04,2.16,1.14,7.7,6.37,5.83,8.24,0,41.0,138678.0,17.87,2.48,3.21,Financials,2.98,2.38,7.02,-1.13,-0.33,-0.52,0.48,4.33,Hybrid : Debt Oriented (Conservative),0.59,9.76,Nil
Franklin India Mutual Fund,Franklin India Equity Advantage Fund(G),EQ-L&M,3.0,2690.3,2.11,2-Mar-05,NIFTY LargeMidcap 250 - TRI,120.4,132.03,106.47,-1.74,3.76,0.25,-9.47,28.15,15.71,9.35,13.59,90.15,50.0,83705.0,47.91,44.37,1.52,Financials,-,-,-,-3.91,-0.48,-0.73,0.95,19.05,Equity : Large & Mid Cap,-1.58,18.24,1% on or before 1Y
Franklin India Mutual Fund,Franklin India Equity Hybrid Fund(G),HY-EQ,4.0,1363.0,2.22,10-Dec-99,CRISIL Hybrid 35+65 - Aggressive Index,178.99,182.92,157.95,-0.11,6.83,3.09,-2.42,21.19,13.85,9.66,13.08,78.98,44.0,136841.0,52.05,7.03,9.64,Financials,2.94,2.41,7.07,-3.33,-0.3,-0.47,0.8,12.47,Hybrid : Equity Oriented,1.35,8.53,Nil upto 10% of units on or before 1Y For excess units 1% on or before 1Y & Nil after 1Y
Franklin India Mutual Fund,Franklin India Flexi Cap Fund(G),EQ-FLEX,4.0,10001.9,1.84,29-Sep-94,NIFTY 500 - TRI,983.31,1017.2,834.04,0.07,8.83,2.97,-2.43,32.23,19.63,11.74,15.23,18.06,52.0,146630.0,73.64,12.05,7.97,Financials,-,-,-,2.12,-0.17,-0.26,0.93,17.9,Equity : Flexi Cap,-2.7,16.46,1% on or before 1Y
Franklin India Mutual Fund,Franklin India Focused Equity Fund(G),EQ-MLC,3.0,8072.0,1.86,26-Jul-07,NIFTY 500 - TRI,69.07,70.79,57.8,-0.44,9.34,6.24,1.53,35.62,19.78,13.27,17.67,43.94,28.0,156043.0,71.76,14.49,9.3,Financials,4.82,3.33,14.04,5.7,0.05,0.08,0.88,17.07,Equity : Multi Cap,0.07,20.3,1% on or before 1Y
Franklin India Mutual Fund,Franklin India Opportunities Fund(G),EQ-THEM,3.0,668.7,2.53,21-Feb-00,NIFTY 500 - TRI,118.93,128.94,97.26,-1.68,9.88,6.7,-7.92,25.36,17.96,10.79,14.27,76.25,35.0,59841.0,42.36,32.97,14.99,Capital Goods,-,-,-,-3.75,-0.47,-0.73,0.96,19.09,Equity : Thematic,7.27,15.07,1% on or before 1Y
Franklin India Mutual Fund,Franklin India Pension Plan(G),HY-SOL,2.0,445.9,2.28,31-Mar-97,Crisil Composite Bond Fund Index,162.13,164.44,150.28,0.0,4.21,2.15,-0.28,9.37,7.43,6.38,9.48,0,41.0,138847.0,29.61,3.97,5.34,Financials,3.01,2.49,7.14,-2.27,-0.38,-0.59,0.63,6.92,Hybrid : Solution Oriented,-1.53,19.02,3% on or beofre the 58Y of age Nil after age of 58Y
Franklin India Mutual Fund,Franklin India Prima Fund(G),EQ-MID,2.0,7579.1,1.89,1-Dec-93,Nifty Midcap 150 - TRI,1525.3,1609.67,1238.33,-1.06,10.54,5.63,-6.83,28.29,17.38,10.1,17.56,34.4,66.0,35484.0,15.62,69.18,12.06,Financials,-,-,-,-2.65,-0.4,-0.6,0.9,19.01,Equity : Mid Cap,0.53,23.53,1% on or before 1Y
Franklin India Mutual Fund,Franklin India Smaller Cos Fund(G),EQ-SML,1.0,7135.4,1.92,13-Jan-06,Nifty Smallcap 250 - TRI,93.79,96.83,76.34,-0.5,11.78,4.03,-0.7,40.96,24.09,10.09,19.42,16.42,78.0,10485.0,5.81,12.2,78.39,Financials,-,-,-,3,-0.08,-0.12,0.82,18.85,Equity : Small Cap,2.94,30.51,1% on or before 1Y
Franklin India Mutual Fund,Franklin India Taxshield(G),EQ-ELSS,3.0,4749.4,1.91,10-Apr-99,NIFTY 500 - TRI,884.39,912.32,748.09,-0.05,8.9,3.17,-3.69,30.31,16.26,10.58,14.51,36.62,54.0,148302.0,74.02,11.47,8.04,Financials,-,-,-,1.81,-0.19,-0.29,0.95,18.23,Equity : Tax Saving (ELSS),-1.86,16.69,Nil
HDFC Mutual Fund,HDFC Arbitrage-WP(G),HY-ARB,2.0,5897.3,0.95,23-Oct-07,Nifty 50 Arbitrage,25.39,25.39,24.47,0.46,1.14,1.97,3.63,3.7,3.74,4.6,5.93,251.43,126.0,139910.0,53.1,11.3,3.44,Financials,0.26,0.25,6.46,0.86,0.95,1.93,-0.01,0.9,Hybrid : Arbitrage,3.56,3.65,0.25% on or before 1M Nil after 1M
HDFC Mutual Fund,HDFC Balanced Advantage Fund(G),HY-DYN,4.0,47230.1,1.64,11-Sep-00,NIFTY 50 Hybrid Composite Debt 50:50 Index,310.97,315.31,267.55,0.0,8.04,5.55,6.76,31.95,17.04,11.99,12.97,23.28,74.0,144118.0,48.46,7.39,8.45,Financials,3.36,1.51,6.58,5.72,0.46,0.72,0.44,11.96,Hybrid : Dynamic Asset Allocation,1.18,10.47,Nil upto 15% of Units For excess Units 1% on or before 1Y and Nil after 1Y
HDFC Mutual Fund,HDFC Capital Builder Value Fund(G),EQ-VAL,2.0,5324.2,2.0,1-Feb-94,NIFTY 500 - TRI,439.23,457.65,372.06,0.09,9.48,1.77,-2.96,26.11,16.53,9.67,14.39,5.66,69.0,124757.0,70.4,15.19,13.85,Financials,-,-,-,1.51,-0.2,-0.31,0.91,17.6,Equity : Value / Contra,3.04,21.88,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Childrens Gift Fund,HY-SOL,4.0,5777.4,1.96,2-Mar-01,NIFTY 50 Hybrid Composite Debt 65:35 Index,192.98,197.09,169.82,-0.45,6.66,5.59,1.13,22.36,16.59,11.65,14.79,3.57,46.0,88456.0,39.71,5.19,21.98,Financials,3.61,2.48,6.99,0.03,-0.03,-0.05,0.73,12.26,Hybrid : Solution Oriented,-1.53,19.02,Nil
HDFC Mutual Fund,HDFC Equity Savings Fund(G),HY-EQ,2.0,2576.8,2.06,17-Sep-04,NIFTY 50 Equity Savings Index - TRI,49.63,50.06,46.27,0.06,4.15,2.38,1.84,15.48,10.34,7.67,9.18,30.74,74.0,161949.0,57.21,4.92,4.1,Financials,1.67,1.04,6.43,-0.13,-0.05,-0.07,0.33,6.54,Hybrid : Equity Oriented,1.35,8.53,NIL upto 15% of investment and 1% in excess of 15% of investment on or before 3M NIL after 3M
HDFC Mutual Fund,HDFC Flexi Cap Fund(G),EQ-FLEX,3.0,29749.0,1.74,1-Jan-95,NIFTY 500 - TRI,1097.33,1123.55,922.02,-0.14,10.29,5.3,5.31,37.84,19.36,13.23,14.63,32.98,53.0,181999.0,77.8,8.06,5.75,Financials,1.14,0.92,6.78,9.93,0.29,0.46,0.88,17.41,Equity : Flexi Cap,-2.7,16.46,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Focused 30 Fund(G),EQ-MLC,2.0,2329.1,2.14,17-Sep-04,NIFTY 500 - TRI,128.4,130.71,105.09,0.2,10.73,7.25,9.22,38.85,19.01,10.57,12.78,47.44,29.0,146949.0,76.44,7.2,6.43,Financials,-,-,-,13.61,0.54,0.86,0.84,16.58,Equity : Multi Cap,0.07,20.3,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Hybrid Debt Fund(G),HY-DT(CO),4.0,2706.5,1.83,26-Dec-03,NIFTY 50 Hybrid Composite Debt 15:85 Index,61.3,61.84,57.9,-0.14,3.27,2.19,2.07,12.18,9.77,7.19,9.04,0,41.0,137484.0,16.3,3.04,2.83,Financials,4.86,3.12,7.4,0.03,-0.04,-0.06,0.46,4.65,Hybrid : Debt Oriented (Conservative),0.59,9.76,Nil for 15% of investment and 1% for remaining Investment on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Hybrid Equity Fund(G),HY-EQ,4.0,18413.9,1.84,6-Apr-05,NIFTY 50 Hybrid Composite Debt 65:35 Index,82.56,84.62,72.57,-0.81,7.23,3.46,0.78,23.58,15.53,9.59,11.4,11.22,35.0,173709.0,52.72,6.63,9.13,Financials,2.13,1.65,6.74,-0.03,-0.03,-0.05,0.77,13.0,Hybrid : Equity Oriented,1.35,8.53,Nil upto 15% of Units For excess Units 1% on or before 1Y and Nil after 1Y
HDFC Mutual Fund,HDFC Infrastructure Fund(G),EQ-INFRA,1.0,594.2,2.6,10-Mar-08,S&P BSE India Infrastructure Index - TRI,22.56,23.68,18.09,-2.03,12.56,6.91,5.15,43.76,14.43,3.3,7.73,16.82,45.0,22638.0,45.08,6.63,46.2,Infrastructure,-,-,-,10.18,0.27,0.41,0.87,20.01,Equity : Sectoral - Infrastructure,5.4,20.87,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Large and Mid Cap Fund-Reg(G),EQ-L&M,4.0,7070.7,1.89,18-Feb-94,NIFTY LargeMidcap 250 - TRI,194.74,202.02,164.66,-1.16,7.74,3.51,-2.43,34.45,20.56,13.12,12.23,16.11,145.0,84686.0,49.9,39.27,7.91,Financials,-,-,-,3.07,-0.11,-0.17,0.94,18.78,Equity : Large & Mid Cap,-1.58,18.24,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund(G),EQ-MID,3.0,34158.2,1.71,25-Jun-07,Nifty Midcap 150 - TRI,99.02,102.75,80.28,-0.99,10.87,6.46,2.29,35.76,24.18,12.52,18.67,19.39,62.0,25746.0,12.18,66.27,18.55,Financials,-,-,-,6.8,0.11,0.17,0.85,18.83,Equity : Mid Cap,0.53,23.53,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC Retirement Savings Fund-Equity Plan-Reg(G),HY-SOL,5.0,2407.0,2.17,25-Feb-16,NIFTY 500 - TRI,30.2,31.07,25.98,-1.17,7.25,3.48,-0.43,31.81,21.54,13.21,-,17.17,68.0,62571.0,46.67,10.24,30.45,Financials,-,-,-,-0.83,-0.07,-0.11,0.59,16.16,Hybrid : Solution Oriented,-1.53,19.02,NIL - Upon completion of Lock-in Period
HDFC Mutual Fund,HDFC Retirement Savings Fund-Hybrid-Debt Plan-Reg(G),HY-SOL,2.0,144.6,2.15,25-Feb-16,NIFTY 50 Hybrid Composite Debt 15:85 Index,16.75,16.96,15.89,-0.43,2.65,2.77,2.41,7.6,7.51,6.03,-,0,47.0,89288.0,13.61,1.8,5.72,Financials,8.09,4.7,7.19,-0.1,-0.11,-0.17,0.71,3.84,Hybrid : Solution Oriented,-1.53,19.02,NIL - Upon completion of Lock-in Period
HDFC Mutual Fund,HDFC Retirement Savings Fund-Hybrid-Equity Plan-Reg(G),HY-SOL,4.0,873.0,2.39,25-Feb-16,NIFTY 50 Hybrid Composite Debt 65:35 Index,25.44,26.07,22.81,-0.65,5.21,3.05,-1.95,20.44,15.03,10.6,-,11.21,58.0,75322.0,37.48,7.88,21.13,Financials,3.12,2.02,6.73,-3.25,-0.3,-0.46,0.62,12.01,Hybrid : Solution Oriented,-1.53,19.02,NIL - Upon completion of Lock-in Period
HDFC Mutual Fund,HDFC Small Cap Fund-Reg(G),EQ-SML,2.0,13879.9,1.88,3-Apr-08,S&P BSE 250 Small Cap - TRI,76.59,79.18,61.07,-0.2,11.18,3.62,-1.0,41.89,25.5,13.8,17.75,11.03,68.0,7326.0,3.78,8.85,81.22,Financials,-,-,-,3.05,-0.08,-0.11,0.82,19.88,Equity : Small Cap,2.94,30.51,1% on or before 1Y Nil after 1Y
HDFC Mutual Fund,HDFC TaxSaver(G),EQ-ELSS,2.0,9593.5,1.88,31-Mar-96,NIFTY 500 - TRI,789.99,810.38,671.2,0.28,9.13,6.17,2.75,30.21,16.28,9.16,12.96,54.78,36.0,183366.0,86.47,7.26,1.8,Financials,-,-,-,6.8,0.13,0.21,0.85,16.26,Equity : Tax Saving (ELSS),-1.86,16.69,Nil
HSBC Mutual Fund,HSBC Flexi Cap Fund(G),EQ-FLEX,3.0,405.5,2.5,24-Feb-04,NIFTY 500 - TRI,127.78,142.83,109.9,-1.11,7.32,-2.27,-8.16,21.81,15.48,7.97,13.19,46,51.0,132536.0,67.09,15.61,15.56,Financials,-,-,-,-3,-0.44,-0.68,1.02,19.59,Equity : Flexi Cap,-2.7,16.46,1% on or before 1Y Nil after 1Y
HSBC Mutual Fund,HSBC Infra Equity Fund(G),EQ-INFRA,4.0,116.7,2.56,23-Feb-06,S&P BSE India Infrastructure Index - TRI,27.07,28.86,22.3,-3.85,10.34,4.25,1.14,44.46,21.49,2.5,8.74,30,30.0,55717.0,46.01,30.07,22.49,Capital Goods,-,-,-,6.02,0.06,0.1,0.87,19.62,Equity : Sectoral - Infrastructure,5.4,20.87,1% on or before 1Y Nil after 1Y
HSBC Mutual Fund,HSBC Small Cap Equity Fund(G),EQ-SML,3.0,296.1,2.5,19-May-05,S&P BSE 250 Small Cap - TRI,81.24,97.13,68.02,-2.0,8.93,-5.26,-14.12,31.07,22.45,6.9,15.06,37,47.0,11374.0,1.43,24.94,68.15,Healthcare,-,-,-,-10.51,-0.74,-1.1,0.85,20.52,Equity : Small Cap,2.94,30.51,1% on or before 1Y Nil after 1Y
HSBC Mutual Fund,HSBC Tax Saver Equity Fund(G),EQ-ELSS,3.0,188.4,2.49,5-Jan-07,NIFTY 500 - TRI,56.18,60.36,47.91,-0.68,7.27,1.18,-6.35,24.27,15.47,8.66,13.5,39,38.0,159542.0,68.54,16.08,12.81,Financials,-,-,-,-0.86,-0.34,-0.53,1.02,19.31,Equity : Tax Saving (ELSS),-1.86,16.69,Nil
ICICI Prudential Mutual Fund,ICICI Pru Balanced Advantage Fund(G),HY-DYN,3.0,42989.2,1.58,30-Dec-06,CRISIL Hybrid 50+50 - Moderate Index,51.99,52.24,47.71,0.39,4.34,4.38,4.89,16,12.1,9.94,12.29,21,70.0,267750.0,58.92,6.26,0.64,Financials,5.45,0.8,6.71,2.57,0.36,0.58,0.37,6.49,Hybrid : Dynamic Asset Allocation,1.18,10.47,Nil upto 10% of units and 1% for Excess units on or before 1Y Nil after 1Y
ICICI Prudential Mutual Fund,ICICI Pru Banking & Fin Serv Fund(G),EQ-FIN,3.0,5407.6,1.96,22-Aug-08,Nifty Financial Services - TRI,86.55,91.42,72.48,-1.9,8.93,4.36,-4.01,27.81,11.05,7.89,15.54,55,28.0,153124.0,67.66,10.52,15.14,Financials,-,-,-,0.98,-0.23,-0.36,0.98,19.39,Equity : Sectoral - Financial Services,-1.79,11.01,1% on or before 15D NIL after 15D
ICICI Prudential Mutual Fund,ICICI Pru Bluechip Fund(G),EQ-LC,4.0,32810.0,1.67,23-May-08,NIFTY 100 - TRI,67.11,68.86,58.51,0.22,7.27,2.74,-1.27,25.75,16.04,11.67,14.32,28,71.0,267494.0,80.7,8.61,0.66,Financials,-,-,-,2.77,-0.13,-0.2,0.87,16.31,Equity : Large Cap,-3.51,14.3,1% on or before 1Y NIL after 1Y
ICICI Prudential Mutual Fund,ICICI Pru Child Care Fund-Gift Plan,HY-SOL,3.0,869.3,2.37,31-Aug-01,NIFTY 50 Hybrid Composite Debt 65:35 Index,196.17,203.23,175.89,-1.44,4.83,2.47,-0.05,18.84,12.12,9.3,11.96,77,45.0,70491.0,44.59,15.05,13.59,Financials,-,-,-,-1.18,-0.13,-0.21,0.67,11.76,Hybrid : Solution Oriented,-1.53,19.02,Nil
ICICI Prudential Mutual Fund,ICICI Pru Equity & Debt Fund(G),HY-EQ,5.0,20098.8,1.78,3-Nov-99,CRISIL Hybrid 35+65 - Aggressive Index,234.01,237.36,206.98,0.42,7.2,1.7,3.98,36.7,20.63,13.56,16.01,42,60.0,184670.0,57.86,4.66,2.89,Financials,6.03,1.19,6.88,3.33,0.24,0.39,0.34,12.78,Hybrid : Equity Oriented,1.35,8.53,Nil upto 30% of units and 1% for remaining units on or before 1Y Nil after 1Y
ICICI Prudential Mutual Fund,ICICI Pru Equity Savings Fund(G),HY-EQ,1.0,4993.1,1.0,5-Dec-14,NIFTY 50 Equity Savings Index,17.66,17.66,16.73,0.57,1.9,1.61,4.44,10.94,7.37,6.89,-,39,61.0,179642.0,60.96,3.16,0.12,Financials,2.61,0.37,6.32,1.74,0.68,1.13,0.05,2.55,Hybrid : Equity Oriented,1.35,8.53,Nil upto 10% of units and 0.25% for remaining units on or before 7D Nil after 7D
ICICI Prudential Mutual Fund,ICICI Pru Equity-Arbitrage Fund(G),HY-ARB,3.0,10980.6,0.96,30-Dec-06,Nifty 50 Arbitrage,28.45,28.45,27.37,0.45,1.19,1.98,3.82,3.84,4.0,4.89,6.33,116,146.0,148123.0,51.01,11.31,3.28,Financials,0.18,0.17,6.29,1.03,1.16,2.41,-0.02,0.89,Hybrid : Arbitrage,3.56,3.65,0.25% on or before 1M Nil after 1M
ICICI Prudential Mutual Fund,ICICI Pru Exports & Services Fund(G),EQ-THEM,3.0,1043.6,2.4,30-Nov-05,S&P BSE 500 - TRI,95.34,95.74,83.94,2.08,7.84,2.93,2.34,28.88,19.69,11.27,18.22,136,41.0,116646.0,57.86,16.51,11.37,Financials,-,-,-,4.89,0.08,0.12,0.69,13.82,Equity : Thematic,7.27,15.07,1% on or before 15D Nil after 15D
ICICI Prudential Mutual Fund,ICICI Pru FMCG Fund(G),EQ-CONS,1.0,892.3,2.43,31-Mar-99,NIFTY FMCG - TRI,379.25,381.77,306.27,1.42,4.48,10.86,8.64,27.2,14.33,12.42,13.54,87,27.0,111084.0,53.03,9.74,15.33,FMCG,-,-,-,10.13,0.52,0.85,0.56,13.42,Equity : Thematic - Consumption,7.84,17.57,1% on or before 15D NIL after 15D
ICICI Prudential Mutual Fund,ICICI Pru Focused Equity Fund(G),EQ-LC,5.0,3620.0,1.99,28-May-09,S&P BSE 500 - TRI,50.43,51.91,43.51,0.04,7.4,4.28,-1.41,29.18,20.31,12.4,13.35,40,29.0,186868.0,80.07,8.59,4.8,Financials,-,-,-,2.47,-0.14,-0.23,0.88,16.75,Equity : Large Cap,-3.51,14.3,1% on or before 1Y Nil after 1Y
ICICI Prudential Mutual Fund,ICICI Pru Infrastructure Fund(G),EQ-INFRA,4.0,2025.7,2.23,31-Aug-05,S&P BSE India Infrastructure Index - TRI,92.8,95.07,74.86,-0.68,13.14,6.84,8.9,51.79,23.84,12.74,13.27,60,50.0,63703.0,55.96,11.52,26.86,Financials,-,-,-,12.52,0.5,0.77,0.75,16.75,Equity : Sectoral - Infrastructure,5.4,20.87,1% on or before 15D NIL after 15D
ICICI Prudential Mutual Fund,ICICI Pru Large & Mid Cap Fund(G),EQ-L&M,3.0,5681.1,2.2,9-Jul-98,NIFTY LargeMidcap 250 - TRI,567.86,581.16,483.03,-0.3,8.44,4.65,0.91,36.81,21.04,12.41,14.54,139,72.0,112809.0,53.42,37.9,3.62,Financials,-,-,-,5.22,0.02,0.03,0.89,17.3,Equity : Large & Mid Cap,-1.58,18.24,1% on or before 1M Nil after 1M
ICICI Prudential Mutual Fund,ICICI Pru LT Equity Fund (Tax Saving)(G),EQ-ELSS,3.0,9930.1,1.93,19-Aug-99,NIFTY 500 - TRI,595.98,624.67,515.45,0.08,6.68,1.58,-5.03,27.56,17.16,12.61,14.84,28,49.0,134992.0,70.01,11.14,12.98,Financials,-,-,-,-0.96,-0.35,-0.54,0.91,17.21,Equity : Tax Saving (ELSS),-1.86,16.69,Nil
ICICI Prudential Mutual Fund,ICICI Pru Midcap Fund(G),EQ-MID,3.0,3572.3,2.09,28-Oct-04,Nifty Midcap 150 - TRI,166.84,172.23,139.68,-1.06,6.64,4.12,-1.99,34.2,22.18,11.42,17.54,60,68.0,26327.0,4.84,76.86,16.08,Financials,-,-,-,1.86,-0.16,-0.24,0.86,18.47,Equity : Mid Cap,0.53,23.53,1% on or before 1Y Nil after 1Y
ICICI Prudential Mutual Fund,ICICI Pru Multicap Fund(G),EQ-MLC,3.0,6790.8,1.94,1-Oct-94,Nifty500 Multicap 50:25:25 - TRI,457.1,469.18,387.02,-0.01,7.16,3.68,-2.19,30.68,16.7,11.69,14.76,39,88.0,56614.0,40.33,27.35,26.22,Financials,-,-,-,1.39,-0.2,-0.3,0.86,16.93,Equity : Multi Cap,0.07,20.3,1% on or before 12M Nil after 12M
ICICI Prudential Mutual Fund,ICICI Pru Regular Savings Fund(G),HY-DT(CO),3.0,3292.1,1.75,30-Mar-04,NIFTY 50 Hybrid Composite Debt 15:85 Index,57.34,57.7,54.39,-0.15,2.83,2.66,3.5,9.05,9.04,8.09,10.01,47,23.0,213715.0,14.69,2.84,0.7,Financials,4.54,1.54,7.43,1.13,0.24,0.38,0.38,4.01,Hybrid : Debt Oriented (Conservative),0.59,9.76,Nil on 10% of units within 1Y and 1% for more than 10% of units within 1Y Nil after 1Y
ICICI Prudential Mutual Fund,ICICI Pru Smallcap Fund(G),EQ-SML,3.0,4235.5,2.08,18-Oct-07,Nifty Smallcap 250 - TRI,53.65,55.53,45.63,-1.29,5.64,5.24,1.63,43.76,28.98,14.78,16.73,36,53.0,6932.0,2.29,5.91,81.94,Consumer Durables,-,-,-,4.71,0.04,0.06,0.73,17.74,Equity : Small Cap,2.94,30.51,1% on or before 1Y NIL after 1Y
