Fund House,Funds,Category,Rating,AUM(in Rs. cr),ExpenseRatio (%),inception_date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. of Stocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,category_average_return_1year,category_average_return_3years,Exit_load_Remarks
Aditya Birla Sun Life,Aditya Birla SL Active Debt Multi-Mgr FoF(G),FOF-DOM,Unrated,9.7,0.62,28-Dec-06,Crisil Composite Bond Fund Index,30.72,30.72,30.04,0.25,1.06,1.56,2.24,3.77,5.54,5.74,7.1,-,-,-,-,-,-,-,-,-,-,-0.43,-0.51,-0.62,0.17,0.99,FoFs : Domestic,-3.72,13.95,0.25% on or before 15D Nil after 15D
Aditya Birla Sun Life,Aditya Birla SL Arbitrage Fund(G),HY-ARB,3,5348.8,1.03,24-Jul-09,Nifty 50 Arbitrage,22.06,22.06,21.26,0.43,1.12,1.9,3.64,3.78,3.94,4.85,6.12,998,131,131930,47.59,12.81,4.25,Financials,0.46,0.43,5.99,0.86,0.98,2.03,-0.01,0.88,Hybrid : Arbitrage,3.56,3.65,0.25% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL Asset Allocator FoF(G),FOF-DOM,Unrated,142.2,1.6,17-Aug-06,CRISIL Hybrid 50+50 - Moderate Index,42.99,44.08,40.07,-0.49,3.1,-0.07,-1.97,15.15,13.97,9.15,11.82,-,-,-,-,-,-,-,-,-,-,-4.54,-0.63,-0.98,0.44,7.52,FoFs : Domestic,-3.72,13.95,1% on or before 365D Nil after 365D
Aditya Birla Sun Life,Aditya Birla SL Bal Bhavishya Yojna-Reg(G),HY-SOL,2,614.5,2.48,11-Feb-19,NIFTY 500 - TRI,13.59,14.53,11.76,-1.52,6.51,2.41,-4.97,12.91,9.56,-,-,45,58,99322,57.59,27.38,13.68,Financials,-,-,-,-5.97,-0.39,-0.61,1.03,16.61,Hybrid : Solution Oriented,-1.53,19.02,Nil
Aditya Birla Sun Life,Aditya Birla SL Balanced Advantage Fund(G),HY-DYN,4,6745.2,1.81,25-Apr-00,CRISIL Hybrid 50+50 - Moderate Index,74.3,75.64,68.36,-0.39,4.65,2.6,-0.56,14.29,11.02,8.05,10.85,308,112,193013,55.35,6.61,3.7,Financials,1.52,1.32,7.34,-2.37,-0.32,-0.5,0.54,8.35,Hybrid : Dynamic Asset Allocation,1.18,10.47,0.25% on or before 7D Nil after 7D
Aditya Birla Sun Life,Aditya Birla SL Banking & Financial Services Fund-Reg(G),EQ-FIN,4,2371.1,2.15,14-Dec-13,Nifty Financial Services - TRI,39.61,41.77,32.27,-1.62,12.45,5.41,-3.63,28.68,11.16,7.27,-,30,32,162461,74.95,10.17,10.21,Financials,-,-,-,2.29,-0.17,-0.27,1.08,21.3,Equity : Sectoral - Financial Services,-1.79,11.01,1% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL Banking & PSU Debt(G),DT-B&PSU,4,8506.4,0.7,5-May-08,NIFTY Banking and PSU Debt Index,300.3,300.4,291.91,0.08,1.03,1.47,2.83,3.65,6.02,6.65,8.31,0,-,-,-,-,-,-,2.86,1.98,7.23,0.23,0.13,0.17,0.19,1.01,Debt : Banking & PSU,2.42,5.6,Nil
Aditya Birla Sun Life,Aditya Birla SL Business Cycle Fund-Reg(G),EQ-THEM,Unrated,2306.7,1.98,3-Dec-21,S&P BSE 500 - TRI,10.24,10.55,8.76,-0.39,8.02,3.23,-,-,-,-,-,-,46,202940,82.05,12.3,2.55,Financials,-,-,-,-,-,-,-,-,Equity : Thematic,7.27,15.07,1% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL CEF-Global Agri-Reg(G),EQ-INTL,Unrated,15.7,1.74,7-Nov-08,S&P Global Agribusiness Index,36.82,42.75,31.7,-2.25,4.4,-15.13,8.07,28.38,15.78,9.35,7.72,9,20,31339,2.73,-,1.52,Chemicals,-,-,-,9.27,0.38,0.59,0.1,23.21,Equity : International,-18.69,6,1% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL Corp Bond Fund(G),DT-CORP,5,13504.1,0.46,3-Mar-97,NIFTY Corporate Bond Index,91.42,91.42,88.61,0.18,1.32,1.74,3.13,4.08,6.56,7.05,8.12,0,-,-,-,-,-,-,2.57,1.6,7.5,0.55,0.34,0.45,0.28,1.25,Debt : Corporate Bond,2.2,5.79,Nil
Aditya Birla Sun Life,Aditya Birla SL Credit Risk Fund-Reg(G),DT-CR,3,1204.7,1.55,22-Apr-15,NIFTY Credit Risk Bond Index,16.91,16.91,15.89,0.16,1.33,4.44,6.31,6.91,6.27,6.04,-,0,1,-,-,-,-,-,2.37,1.58,8.1,3.73,1.36,4.5,0.19,2.67,Debt : Credit Risk,3.6,5.53,Nil upto 15% of units For remaining units 3% on or before 1Y 2% after 1Y but on or before 2Y 1% after 2Y but on or before 3Y Nil after 3Y
Aditya Birla Sun Life,Aditya Birla SL Credit Risk Fund-Segregated Portfolio 1-Reg(G),DT-CR,Unrated,66.4,-,25-Nov-19,NIFTY Credit Risk Bond Index,0.16,0.4,0.16,0.06,0.18,-59.02,-59.02,-35.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-66.4,-1.08,-1.08,0.07,61.49,Debt : Credit Risk,3.6,5.53,null
Aditya Birla Sun Life,Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Reg(G),DT-M&LD,Unrated,-,-,13-Oct-22,CRISIL IBX 50:50 Gilt Plus SDL Index - April 2028,10.02,10.03,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Debt : Medium to Long Duration,1.11,4.88,Nil
Aditya Birla Sun Life,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2025 Index Fund-Reg(G),DT-MD,Unrated,134.3,0.3,30-Mar-22,CRISIL IBX 60:40 PSU + AAA PSU Index - April 2025,9.97,10.01,9.77,0.09,0.89,0.54,-,-,-,-,-,0,-,-,-,-,-,-,2.33,2.04,7.44,-,-,-,-,-,Debt : Medium Duration,1.38,5.02,0.50% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2027 Index Fund-Reg(G),DT-M&LD,Unrated,910.9,0.35,29-Mar-22,CRISIL IBX 60:40 PSU + AAA PSU Index - April 2027,9.96,10.02,9.67,-0.05,1,1.03,-,-,-,-,-,0,-,-,-,-,-,-,4.06,3.38,7.53,-,-,-,-,-,Debt : Medium to Long Duration,1.11,4.88,0.50% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL CRISIL IBX AAA - Jun 2023 Index Fund-Reg(G),DT-SD,Unrated,1381.3,0.3,22-Feb-22,CRISIL IBX AAA Index - June 2023,10.18,10.18,9.98,0.21,1.04,1.48,-,-,-,-,-,0,-,-,-,-,-,-,0.62,0.59,7.08,-,-,-,-,-,Debt : Short Duration,2.89,5.39,Nil
Aditya Birla Sun Life,Aditya Birla SL CRISIL IBX Gilt - April 2026 Index Fund-Reg(G),DT-MD,Unrated,-,-,7-Oct-22,CRISIL IBX Gilt Index - April 2026,10.04,10.04,9.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Debt : Medium Duration,1.38,5.02,Nil
Aditya Birla Sun Life,Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund-Reg(G),DT-GILT,Unrated,-,-,-,CRISIL IBX Gilt Index - April 2029,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Debt : Gilt,1.22,5.04,Nil
Aditya Birla Sun Life,Aditya Birla SL Digital India Fund(G),EQ-TECH,Unrated,3035.9,2.12,15-Jan-00,S&P BSE TECk Index - TRI,114.17,150.15,105.96,4.12,4.78,-10.27,-17.82,23.52,27.94,24.57,20.32,28,35,133936,66.74,12.98,12.73,Technology,-,-,-,-13.91,-0.88,-1.34,0.95,21.84,Equity : Sectoral - Technology,-17.82,26.86,1% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL Dividend Yield Fund(G),EQ-DIV,Unrated,810.4,2.47,10-Feb-03,NIFTY 500 - TRI,258.33,264.63,215.98,1.72,9.7,0.86,-3.06,25.91,18.57,7.83,11.03,23,55,48136,45.76,15.43,29.6,Technology,-,-,-,0.98,-0.2,-0.3,0.81,17.63,Equity : Thematic - Dividend Yield,-1.06,18.75,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Dynamic Bond Fund-Reg(G),DT-DYN,1,1780.8,1.18,27-Sep-04,NIFTY Composite Debt Index,37.51,37.64,35.66,-0.03,1.43,4.45,5.17,5.21,4.76,4.38,6.97,0,-,-,-,-,-,-,2.91,2.11,7.63,2.6,0.8,2.4,0.34,3.04,Debt : Dynamic Bond,2.02,5.08,Nil upto 15% of units0.50% in excess of limit on or before 90D and Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Dynamic Bond Fund-Segregated Portfolio 1-DAP(G),DT-DYN,Unrated,50.1,-,25-Nov-19,NIFTY Composite Debt Index,0.4,0.97,0.4,0.1,0.18,-59.01,-59.01,-35.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-66.4,-1.08,-1.08,0.08,61.48,Debt : Dynamic Bond,2.02,5.08,null
Aditya Birla Sun Life,Aditya Birla SL Dynamic Bond Fund-Segregated Portfolio 1-Reg(G),DT-DYN,Unrated,50.1,-,25-Nov-19,NIFTY Composite Debt Index,0.57,1.4,0.57,0.1,0.17,-59.01,-59.01,-35.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-66.38,-1.08,-1.08,0.07,61.49,Debt : Dynamic Bond,2.02,5.08,null
Aditya Birla Sun Life,Aditya Birla SL Equity Advantage Fund(G),EQ-L&M,4,5378.6,2,24-Feb-95,S&P BSE 250 LargeMidCap Index - TRI,607.94,726.83,523.09,-1.38,7.55,-5.32,-16.18,20.5,14.62,6.76,14.82,56,64,85863,50.76,37.03,9.48,Financials,-,-,-,-12.52,-0.91,-1.37,1,19.83,Equity : Large & Mid Cap,-1.58,18.24,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Equity Hybrid 95 Fund(G),HY-EQ,4,7687.6,1.88,10-Feb-95,CRISIL Hybrid 35+65 - Aggressive Index,1049.77,1111.64,951.46,-0.76,5,-2.8,-6.56,18.69,11.88,6.98,12.21,81,68,119057,49.34,20.48,4.84,Financials,2.6,1.98,7.35,-7.43,-0.57,-0.9,1.08,14.06,Hybrid : Equity Oriented,1.35,8.53,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Equity Savings Fund-Reg(G),HY-EQ,2,505.2,2.31,28-Nov-14,NIFTY 50 Equity Savings Index - TRI,17.28,17.94,16.12,-0.06,3.54,0.29,-3.25,10.08,8.03,5.72,-,385,57,151451,49.8,13.59,6.09,Financials,0.75,0.7,7.16,-5.34,-0.73,-1.1,0.46,7.64,Hybrid : Equity Oriented,1.35,8.53,0.25% on or before 7D Nil after 7D
Aditya Birla Sun Life,Aditya Birla SL ESG Fund-Reg(G),EQ-THEM,Unrated,970.1,2.32,24-Dec-20,NIFTY100 ESG - TRI,12.25,14.26,10.4,0.33,7.86,-3.25,-13.76,-,-,-,-,-,41,96384,61.51,23.32,11.67,Financials,-,-,-,-10.18,-0.8,-1.21,0.98,19.56,Equity : Thematic,7.27,15.07,1% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL Financial Planning FOF Aggressive Plan(G),FOF-DOM,Unrated,160,1.09,9-May-11,CRISIL Hybrid 35+65 - Aggressive Index,34.19,35.07,30.58,-0.31,6.01,0.65,-1.75,18.23,14.71,9.38,12.08,-,-,-,-,-,-,-,-,-,-,-3.78,-0.32,-0.5,0.59,12.61,FoFs : Domestic,-3.72,13.95,1% on or before 365D Nil after 365D
Aditya Birla Sun Life,Aditya Birla SL Financial Planning FOF Conservative Plan(G),FOF-DOM,Unrated,14.3,0.8,9-May-11,CRISIL Short Term Debt Hybrid 75+25 Fund Index,24.5,24.72,23.33,0.1,2.83,0.83,1.25,9.8,9.6,7.22,7.95,-,-,-,-,-,-,-,-,-,-,-1.36,-0.32,-0.52,0.28,4.59,FoFs : Domestic,-3.72,13.95,1% on or before 1Y Nil after 1Y
Aditya Birla Sun Life,Aditya Birla SL Financial Planning FOF Moderate Plan(G),FOF-DOM,Unrated,28.6,0.96,9-May-11,CRISIL Hybrid 50+50 - Moderate Index,28.52,28.98,26.42,-0.07,4.21,0.77,-0.04,13.92,12.21,8.44,9.77,-,-,-,-,-,-,-,-,-,-,-2.47,-0.33,-0.52,0.41,8.04,FoFs : Domestic,-3.72,13.95,1% on or before 365D Nil after 365D
Aditya Birla Sun Life,Aditya Birla SL Flexi Cap Fund(G),EQ-FLEX,3,15735,1.82,27-Aug-98,NIFTY 500 - TRI,1118.84,1203.91,966.11,0.41,8.03,-0.57,-7.83,23.15,15.82,9.66,15.61,18,67,135484,73.4,14.37,9.55,Financials,-,-,-,-3.58,-0.49,-0.76,0.94,17.96,Equity : Flexi Cap,-2.7,16.46,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Floating Rate Fund(G),DT-FL,3,13617.8,0.45,25-Mar-09,CRISIL Low Duration Debt Index,283.98,283.98,273.2,0.36,1.29,2.1,3.91,4.13,5.66,6.52,7.78,0,-,-,-,-,-,-,1.34,0.61,7.16,1.29,2.04,3.16,0.09,0.61,Debt : Floater,3.09,5.61,Nil
Aditya Birla Sun Life,Aditya Birla SL Focused Equity Fund(G),EQ-LC,3,5712.3,1.93,24-Oct-05,NIFTY 500 - TRI,90.68,96.43,79.58,-0.33,6.32,1.44,-5.2,21.8,14.74,9.68,14,39,31,235961,84.15,8.85,-,Financials,-,-,-,-0.98,-0.35,-0.56,0.93,17.26,Equity : Large Cap,-3.51,14.3,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Frontline Equity Fund(G),EQ-LC,4,21457.6,1.77,30-Aug-02,NIFTY 100 - TRI,342.98,356.11,296.86,-0.51,7.22,2.41,-4.28,24,15.38,9.81,13.87,41,76,221474,83.61,9,2.06,Financials,-,-,-,0.18,-0.29,-0.45,0.92,17.13,Equity : Large Cap,-3.51,14.3,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL G-Sec Fund(G),DT-GILT,3,1273.1,0.94,11-Oct-99,Nifty All Duration G-Sec Index,66.08,66.43,64.5,0.07,0.98,0.65,0.73,2.56,5.43,6.24,8.44,0,-,-,-,-,-,-,3.38,2.87,7.42,-1.81,-0.94,-1.27,0.52,2.19,Debt : Gilt,1.22,5.04,Nil
Aditya Birla Sun Life,Aditya Birla SL Global Emerging Opp Fund(G),FOF-OVR,Unrated,244.1,1.19,17-Sep-08,S&P Global 1200,17.6,22.25,17.17,-4.22,-4.23,-14.78,-16.79,2.68,10.63,6.72,2.64,0.2,1,-,-,-,-,-,-,-,-,-19.23,-0.82,-1.36,-0.25,23.34,FoFs : Overseas,-21.18,4.44,0.25% on or before 28D Nil after 28D
Aditya Birla Sun Life,Aditya Birla SL Global Excellence Equity FoF(G),FOF-OVR,Unrated,138.7,1.29,31-Dec-07,MSCI World,19.14,25.79,18.27,-1.94,-4.32,-13.09,-20.46,2.61,-3.14,1.56,3.64,0.06,1,-,-,-,-,-,-,-,-,-22.78,-0.95,-1.64,0.39,24.32,FoFs : Overseas,-21.18,4.44,0.25% on or before 28D Nil after 28D
Aditya Birla Sun Life,Aditya Birla SL Gold ETF,GOLD-ETF,Unrated,331.8,0.54,13-May-11,Gold-India,45.33,4529.69,43.3,1.73,-1.32,-6.45,5.26,-1.48,8.5,10.25,3.96,-,-,-,-,-,-,-,-,-,-,1.66,0.14,0.25,-0.37,13.37,Gold : ETFs,-3.32,12.35,Nil
Aditya Birla Sun Life,Aditya Birla SL Gold Fund(G),GOLD-MF,Unrated,251.9,0.51,20-Mar-12,Gold-India,15.22,16.84,14.51,1.51,-1.24,-6.88,4.49,-1.94,8.12,9.73,3.58,-,-,-,-,-,-,-,-,-,-,2.02,0.17,0.31,-0.63,13.43,Gold : MFs,3.72,7.87,1% on or before 15D Nil after 15D
Aditya Birla Sun Life,Aditya Birla SL Income Fund(G),DT-M&LD,5,1541.6,0.89,21-Oct-95,CRISIL Medium to Long Term Debt Index,102.66,103.15,100.28,0.03,1.18,0.76,1.43,3.17,6.03,6.07,7.31,0,-,-,-,-,-,-,3.3,2.68,7.2,-1.16,-0.65,-0.91,0.53,2.15,Debt : Medium to Long Duration,1.11,4.88,Nil
Aditya Birla Sun Life,Aditya Birla SL India GenNext Fund(G),EQ-CONS,3,3137.6,2.17,5-Aug-05,Nifty India Consumption - TRI,144.75,148.06,120.17,-0.35,8.63,7.64,0.37,28.91,17.97,13.58,17.28,11,75,96733,60.02,25.3,10.92,Financials,-,-,-,3.98,-0.05,-0.08,0.87,17.43,Equity : Thematic - Consumption,7.84,17.57,1% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL Infrastructure Fund(G),EQ-INFRA,4,549.7,2.55,17-Mar-06,Nifty Infrastructure - TRI,50.46,52.53,40.62,-1.25,13.16,0.92,-2.96,40.18,19.95,5.97,12.53,46,44,34379,37.82,18.73,37.89,Infrastructure,-,-,-,1.49,-0.17,-0.26,0.88,19.66,Equity : Sectoral - Infrastructure,5.4,20.87,1% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL Intl. Equity Fund-A(G),EQ-INTL,Unrated,95.3,2.51,31-Oct-07,S&P Global 1200,26.87,31.2,25.83,-2.49,-5.24,-10.49,-14.47,3.45,6.48,8.89,8.65,85,69,-,-,-,-,-,-,-,-,-13.13,-0.8,-1.3,0.3,18.57,Equity : International,-18.69,6,1% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL Intl. Equity Fund-B(G),EQ-INTL,Unrated,90.1,2.56,31-Oct-07,S&P BSE 200,25.44,28.29,22.99,-0.8,3.34,-5.07,-11.62,17.16,12,6.88,9.9,60,99,248175,64.48,7.65,-,Financials,-,-,-,-8.29,-0.79,-1.25,0.77,15.79,Equity : International,-18.69,6,1% on or before 30D Nil after 30D
Aditya Birla Sun Life,Aditya Birla SL Liquid Fund(G),DT-LIQ,3,32807.1,0.34,30-Mar-04,Crisil Liquid Fund Index,349.2,349.2,335.2,0.45,1.31,2.38,4.18,3.68,4.03,5.28,6.79,0,-,-,-,-,-,-,0.12,0.12,6.39,0.08,0.68,0.69,0.01,0.08,Debt : Liquid,4.1,3.86,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL after 7D
Aditya Birla Sun Life,Aditya Birla SL Long Duration Fund-Reg(G),DT-LD,Unrated,37.7,-,8-Aug-22,NIFTY Long Duration Debt Index,10.15,10.34,10,-0.78,-,-,-,-,-,-,-,0,-,-,-,-,-,-,9.83,6.8,7.53,-,-,-,-,-,Debt : Long Duration,-0.06,4.44,Nil
Aditya Birla Sun Life,Aditya Birla SL Low Duration Fund(G),DT-LOWD,3,11969.9,1.22,14-May-98,CRISIL Low Duration Debt Index,546.2,546.2,527.69,0.26,1.12,1.87,3.5,3.73,5.11,6.05,7.17,0,-,-,-,-,-,-,1.01,0.69,7.24,0.86,1.62,2.4,0.08,0.51,Debt : Low Duration,3.28,4.97,Nil
Aditya Birla Sun Life,Aditya Birla SL Medium Term Plan-Reg(G),DT-MD,2,1613.9,1.51,25-Mar-09,CRISIL Medium Term Debt Index,30.98,31.03,25.04,0.11,1.57,17.69,23.68,15.21,10.05,7.58,8.88,0,1,-,-,-,-,-,3.42,2.37,7.82,20.61,1.27,16.92,0.56,15.97,Debt : Medium Duration,1.38,5.02,Nil upto 15% of units For remaining units 2% on or before 1Y 1 % after 1Y but on or before 2Y Nil after 2Y
Aditya Birla Sun Life,Aditya Birla SL Medium Term Plan-Segregated Portfolio 1-Reg(G),DT-MD,1,130.7,-,25-Nov-19,CRISIL Medium Term Debt Index,0.55,1.33,0.54,0.09,0.17,-59.02,-59.02,-35.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-66.38,-1.08,-1.08,0.08,61.49,Debt : Medium Duration,1.38,5.02,null
Aditya Birla Sun Life,Aditya Birla SL Mfg. Equity Fund-Reg(G),EQ-CONS,4,662.6,2.51,3-Feb-15,S&P BSE India Manufacturing Index - TRI,19.4,20.77,16.94,-49.13,-45.7,-49.39,-53.22,18.18,14.6,6.78,-,2,42,53104,49.34,24.84,20.45,FMCG,-,-,-,-5.75,-0.59,-0.9,0.81,17.41,Equity : Thematic - Consumption,7.84,17.57,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Midcap Fund(G),EQ-MID,2,3550.1,2.1,3-Oct-02,Nifty Midcap 150 - TRI,463.16,498.8,401.08,-2.01,5.14,-0.7,-5.71,32.34,20.42,7.91,15.32,18,71,28709,13.33,69.8,13.29,Financials,-,-,-,-0.78,-0.3,-0.44,0.88,19.05,Equity : Mid Cap,0.53,23.53,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL MNC Fund-Reg(G),EQ-MNC,Unrated,3547.9,2.06,27-Dec-99,NIFTY MNC - TRI,946.52,1011.78,848.26,-2.23,2.36,0.18,-6.42,11.25,7.68,5.92,14.15,10,37,31383,17.5,68.45,13.79,FMCG,-,-,-,-5.09,-0.6,-0.92,0.62,14.22,Equity : Thematic - MNC,-1.1,14.53,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Money Manager Fund(G),DT-MM,5,12964.9,0.33,13-Oct-05,Nifty Money Market Index,303.14,303.14,291.07,0.38,1.23,2.15,4.15,4.02,5.02,6.21,7.28,0,-,-,-,-,-,-,0.42,0.42,7,1.49,3.94,6.03,0.05,0.37,Debt : Money Market,3.75,4.5,Nil
Aditya Birla Sun Life,Aditya Birla SL Multi-Cap Fund-Reg(G),EQ-MLC,Unrated,3678.7,2.11,7-May-21,Nifty500 Multicap 50:25:25 - TRI,12.31,13,10.67,-0.65,6.13,0.57,-4.65,-,-,-,-,-,79,53923,44.39,24.42,27.83,Financials,-,-,-,-0.83,-0.33,-0.5,0.87,17.13,Equity : Multi Cap,0.07,20.3,1% on or before 90D Nil after 90D
Aditya Birla Sun Life,Aditya Birla SL Multi-Index FoF-Reg(G),FOF-DOM,Unrated,-,-,-,NIFTY 500 - TRI,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FoFs : Domestic,-3.72,13.95,0.50% on or before 15D Nil after 15D
Aditya Birla Sun Life,Aditya Birla SL NASDAQ 100 FOF-Reg(G),FOF-OVR,Unrated,96.8,0.65,1-Nov-21,Nasdaq-100 - TRI,7.52,10.19,7.22,-2.71,-4.6,-14.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FoFs : Overseas,-21.18,4.44,Nil
Aditya Birla Sun Life,Aditya Birla SL Nifty 200 Momentum 30 ETF,EQ-ETF,Unrated,6.1,0.23,12-Aug-22,Nifty200 Momentum 30 - TRI,19.5,20.22,18.64,-1.45,-,-,-,-,-,-,-,-,30,137272,86.08,13.79,-,Energy,-,-,-,-,-,-,-,-,Equity : ETFs,-3.32,12.35,null
Aditya Birla Sun Life,Aditya Birla SL Nifty 200 Quality 30 ETF,EQ-ETF,Unrated,5.5,0.17,12-Aug-22,NIFTY200 Quality 30 - TRI,14.4,14.82,14.04,1.61,-,-,-,-,-,-,-,-,30,120008,78.54,18.96,2.38,FMCG,-,-,-,-,-,-,-,-,Equity : ETFs,-3.32,12.35,null
Aditya Birla Sun Life,Aditya Birla SL Nifty 50 Equal Weight Index Fund-Reg(G),EQ-INDX,Unrated,133,1.02,8-Jun-21,NIFTY50 Equal Weight - TRI,11.24,11.73,9.67,-1.28,7.48,1.37,-3.56,-,-,-,-,-,51,192405,99.72,-,-,Financials,-,-,-,0.81,-0.24,-0.38,0.92,17.79,Equity : Index Funds,-2.76,15.7,Nil
Aditya Birla Sun Life,Aditya Birla SL Nifty 50 ETF,EQ-ETF,Unrated,902.2,0.05,21-Jul-11,NIFTY 50 - TRI,19.67,202.67,17.11,-0.25,7.72,2.79,-4.07,22.94,15.68,12.62,13,1,51,397399,99.91,-,-,Financials,-,-,-,0.93,-0.25,-0.41,0.99,18.16,Equity : ETFs,-3.32,12.35,Nil
Aditya Birla Sun Life,Aditya Birla SL Nifty 50 Index Fund-Reg(G),EQ-INDX,3,442,0.6,18-Sep-02,NIFTY 50 - TRI,174.19,180.93,151.9,-0.31,7.53,2.42,-4.71,22.07,14.94,11.7,11.97,12,51,397413,99.83,-,-,Financials,-,-,-,0.23,-0.29,-0.47,0.99,18.13,Equity : Index Funds,-2.76,15.7,Nil
Aditya Birla Sun Life,Aditya Birla SL Nifty Bank ETF,EQ-ETF,Unrated,78.2,0.15,23-Oct-19,NIFTY BANK - TRI,40.41,410.58,32.61,-1.19,14.16,10.44,2.13,29.43,-,-,-,-,12,355122,93.33,6.67,-,Financials,-,-,-,8.85,0.12,0.2,1.1,22.44,Equity : ETFs,-3.32,12.35,null
Aditya Birla Sun Life,Aditya Birla SL Nifty Financial Services ETF,EQ-ETF,Unrated,-,-,-,Nifty Financial Services - TRI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Equity : ETFs,-3.32,12.35,null
Aditya Birla Sun Life,Aditya Birla SL Nifty Healthcare ETF,EQ-ETF,Unrated,27.4,0.09,21-Oct-21,Nifty Healthcare Index - TRI,8.3,8.96,7.32,5.62,4.32,-3.67,-,-,-,-,-,-,20,70082,67.52,29.25,3.07,Healthcare,-,-,-,-,-,-,-,-,Equity : ETFs,-3.32,12.35,null
Aditya Birla Sun Life,Aditya Birla SL Nifty IT ETF,EQ-ETF,Unrated,18.8,0.22,29-Oct-21,NIFTY IT - TRI,28.43,39.3,26.73,6.01,3.94,-12.62,-,-,-,-,-,-,10,293184,85.45,14.45,-,Technology,-,-,-,-,-,-,-,-,Equity : ETFs,-3.32,12.35,null
Aditya Birla Sun Life,Aditya Birla SL Nifty Midcap 150 Index Fund-Reg(G),EQ-INDX,Unrated,74.6,1.02,5-Apr-21,Nifty Midcap 150 - TRI,13,13.58,10.61,-1.85,9.12,2.87,-3.99,-,-,-,-,-,161,30995,8.09,87.1,4.41,Financials,-,-,-,1.34,-0.19,-0.28,0.93,20.29,Equity : Index Funds,-2.76,15.7,0.50% on or before 15D Nil after 15D
Aditya Birla Sun Life,Aditya Birla SL Nifty Next 50 ETF,EQ-ETF,Unrated,114.9,0.05,18-Dec-18,NIFTY NEXT 50 - TRI,43.01,450.37,36.24,-4.83,6.5,-2.64,-5.01,24.68,15.08,-,-,-,50,83547,87.91,11.91,-,Financials,-,-,-,-0.35,-0.27,-0.41,0.95,20.6,Equity : ETFs,-3.32,12.35,null
